Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Feb,Dodge,Urban,Monday,Jun,2,Male,Widow,42,Third Party,Utility - Liability,Sport,less than 20000,68579,1,700,3,none,more than 30,1,3 years,21 to 25,No,Yes,Internal,1 to 2,under 6 months,2 vehicles,All Perils
Nov,Toyota,Rural,Friday,Jan,3,Male,Widow,49,Third Party,Utility - All Perils,Utility,more than 69000,78036,1,700,3,8 to 15,more than 30,more than 4,5 years,36 to 40,No,Yes,External,more than 5,1 year,3 to 4,Collision
May,Jaguar,Urban,Friday,Jan,2,Female,Widow,21,Third Party,Utility - Liability,Sedan,60000 to 69000,49975,6,400,2,none,none,none,new,51 to 65,Yes,No,Internal,more than 5,4 to 8 years,1 vehicle,Collision
Sep,Saab,Rural,Thursday,Aug,5,Female,Widow,26,Third Party,Sedan - All Perils,Sport,more than 69000,20172,1,300,3,1 to 7,8 to 15,more than 4,4 years,51 to 65,Yes,No,Internal,more than 5,1 year,3 to 4,Collision
Feb,Ford,Urban,Sunday,Jul,2,Female,Divorced,65,Policy Holder,Sedan - All Perils,Sedan,more than 69000,46004,9,400,4,8 to 15,8 to 15,1,5 years,16 to 17,No,Yes,External,none,4 to 8 years,5 to 8,All Perils
Oct,Jaguar,Urban,Monday,Jul,3,Male,Married,36,Third Party,Sedan - Collision,Utility,less than 20000,68706,4,400,1,1 to 7,15 to 30,none,3 years,31 to 35,Yes,Yes,External,1 to 2,2 to 3 years,1 vehicle,All Perils
Dec,Jaguar,Urban,Saturday,Jul,2,Female,Widow,35,Third Party,Utility - Collision,Sedan,20000 to 29000,83551,3,500,4,more than 30,15 to 30,none,7 years,31 to 35,No,Yes,Internal,3 to 5,no change,5 to 8,All Perils
Dec,Nisson,Urban,Friday,Jul,5,Female,Widow,37,Policy Holder,Sedan - Liability,Sedan,less than 20000,17895,7,300,2,1 to 7,8 to 15,2 to 4,6 years,41 to 50,Yes,Yes,External,more than 5,4 to 8 years,3 to 4,Liability
Aug,Nisson,Urban,Wednesday,Jun,1,Male,Divorced,23,Policy Holder,Utility - Liability,Utility,20000 to 29000,19255,4,700,1,8 to 15,15 to 30,none,5 years,51 to 65,Yes,Yes,External,none,no change,5 to 8,All Perils
Jan,Pontiac,Rural,Wednesday,Jan,2,Male,Divorced,57,Policy Holder,Sport - All Perils,Sedan,60000 to 69000,92040,6,500,2,1 to 7,8 to 15,2 to 4,6 years,21 to 25,Yes,Yes,External,more than 5,under 6 months,5 to 8,Collision
Jun,VW,Rural,Tuesday,Jul,3,Female,Married,62,Policy Holder,Sedan - Collision,Sport,20000 to 29000,79716,6,700,4,1 to 7,8 to 15,2 to 4,5 years,over 65,Yes,No,External,more than 5,4 to 8 years,3 to 4,All Perils
Jun,Mazda,Urban,Friday,Oct,2,Female,Single,51,Third Party,Utility - Liability,Sport,more than 69000,94306,6,500,4,8 to 15,8 to 15,2 to 4,5 years,26 to 30,No,Yes,External,3 to 5,1 year,3 to 4,Collision
Oct,Dodge,Rural,Sunday,Jan,5,Male,Divorced,77,Third Party,Sport - Collision,Sedan,30000 to 39000,98654,3,500,1,8 to 15,8 to 15,more than 4,3 years,16 to 17,No,Yes,Internal,1 to 2,under 6 months,more than 8,All Perils
Dec,Jaguar,Urban,Sunday,Mar,3,Male,Divorced,31,Third Party,Sedan - All Perils,Utility,40000 to 59000,78263,3,400,1,8 to 15,8 to 15,none,6 years,31 to 35,No,No,Internal,none,1 year,1 vehicle,Liability
Jul,Saab,Rural,Monday,Apr,4,Female,Widow,53,Policy Holder,Sedan - Liability,Sedan,60000 to 69000,70972,7,700,2,15 to 30,more than 30,1,5 years,41 to 50,Yes,Yes,Internal,1 to 2,no change,1 vehicle,Collision
Dec,Mecedes,Rural,Wednesday,Dec,3,Female,Widow,45,Policy Holder,Sport - Liability,Sport,less than 20000,93182,4,300,1,1 to 7,8 to 15,more than 4,4 years,21 to 25,No,No,Internal,none,no change,3 to 4,Collision
Nov,Mecedes,Urban,Monday,0,2,Female,Widow,36,Third Party,Utility - Collision,Sedan,40000 to 59000,63558,3,500,4,more than 30,none,more than 4,6 years,16 to 17,Yes,No,External,1 to 2,2 to 3 years,2 vehicles,Liability
Nov,Dodge,Rural,Wednesday,Nov,5,Male,Divorced,52,Policy Holder,Sport - All Perils,Sedan,20000 to 29000,22122,3,300,1,none,none,1,2 years,over 65,No,Yes,External,1 to 2,no change,3 to 4,Liability
Jan,Porche,Urban,Wednesday,Oct,5,Female,Married,42,Policy Holder,Utility - Liability,Utility,more than 69000,82741,6,400,4,more than 30,more than 30,1,4 years,41 to 50,Yes,No,External,none,2 to 3 years,more than 8,Liability
Dec,Mazda,Urban,Wednesday,Sep,1,Male,Married,54,Third Party,Sport - Liability,Utility,20000 to 29000,19775,3,500,2,more than 30,15 to 30,more than 4,3 years,21 to 25,Yes,No,Internal,none,2 to 3 years,5 to 8,Collision
Feb,Saab,Urban,Saturday,Oct,2,Female,Widow,16,Third Party,Utility - All Perils,Sport,20000 to 29000,71368,9,400,4,8 to 15,8 to 15,2 to 4,3 years,16 to 17,No,Yes,Internal,1 to 2,under 6 months,1 vehicle,Liability
Aug,Lexus,Urban,Saturday,Nov,5,Female,Divorced,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,21479,5,300,3,more than 30,15 to 30,2 to 4,4 years,18 to 20,Yes,No,External,1 to 2,4 to 8 years,2 vehicles,Liability
May,Porche,Urban,Wednesday,May,2,Male,Single,55,Policy Holder,Utility - All Perils,Sedan,less than 20000,96957,2,300,3,1 to 7,none,1,more than 7,18 to 20,No,No,External,more than 5,1 year,5 to 8,Collision
Jul,Accura,Urban,Sunday,Nov,3,Male,Widow,24,Third Party,Utility - Collision,Sedan,30000 to 39000,12298,2,700,4,more than 30,more than 30,2 to 4,new,26 to 30,Yes,Yes,External,1 to 2,no change,more than 8,Collision
Apr,Toyota,Rural,Sunday,May,1,Female,Single,73,Policy Holder,Sport - Liability,Sedan,20000 to 29000,33521,8,700,1,1 to 7,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,Collision
Sep,VW,Rural,Wednesday,Nov,3,Male,Widow,45,Policy Holder,Utility - Collision,Sedan,less than 20000,70370,2,300,3,1 to 7,more than 30,none,4 years,over 65,Yes,Yes,External,more than 5,under 6 months,1 vehicle,Liability
Dec,Mazda,Urban,Sunday,Oct,1,Male,Widow,22,Third Party,Utility - Collision,Utility,more than 69000,17833,3,700,1,8 to 15,more than 30,none,4 years,36 to 40,Yes,Yes,Internal,none,2 to 3 years,more than 8,All Perils
Sep,Dodge,Rural,Saturday,Mar,4,Male,Widow,17,Third Party,Utility - All Perils,Sedan,20000 to 29000,46055,1,700,3,none,8 to 15,none,more than 7,16 to 17,No,Yes,External,more than 5,1 year,1 vehicle,All Perils
Nov,Lexus,Rural,Monday,Apr,1,Male,Single,57,Policy Holder,Sedan - Liability,Sport,60000 to 69000,82322,4,500,3,none,none,none,3 years,26 to 30,Yes,Yes,Internal,none,under 6 months,5 to 8,Liability
Apr,Lexus,Rural,Tuesday,Oct,1,Female,Widow,27,Third Party,Sport - All Perils,Sport,less than 20000,84723,7,300,2,none,more than 30,none,6 years,41 to 50,Yes,No,Internal,3 to 5,4 to 8 years,2 vehicles,Collision
Oct,Jaguar,Rural,Monday,Feb,3,Female,Married,17,Third Party,Sedan - All Perils,Sport,20000 to 29000,54633,5,300,4,more than 30,none,2 to 4,5 years,18 to 20,No,No,Internal,3 to 5,2 to 3 years,3 to 4,Collision
Aug,Pontiac,Urban,Friday,0,3,Male,Single,22,Third Party,Sedan - Liability,Sport,20000 to 29000,99187,1,700,2,more than 30,8 to 15,2 to 4,4 years,over 65,No,Yes,External,1 to 2,4 to 8 years,3 to 4,Liability
Dec,Nisson,Urban,Sunday,May,4,Male,Married,35,Third Party,Sport - All Perils,Sport,30000 to 39000,56641,7,500,2,none,none,1,6 years,26 to 30,No,Yes,Internal,1 to 2,1 year,5 to 8,All Perils
Jun,VW,Urban,Wednesday,Jan,3,Female,Married,44,Policy Holder,Utility - Liability,Sedan,less than 20000,92948,6,400,3,more than 30,none,none,2 years,16 to 17,No,No,Internal,1 to 2,2 to 3 years,1 vehicle,Liability
Jul,VW,Urban,Sunday,0,3,Male,Married,49,Policy Holder,Sport - All Perils,Sport,60000 to 69000,12686,1,500,4,15 to 30,none,1,3 years,36 to 40,Yes,Yes,External,none,no change,more than 8,Liability
Feb,Nisson,Urban,0,Apr,5,Male,Single,62,Policy Holder,Utility - All Perils,Sedan,less than 20000,60630,8,500,1,1 to 7,15 to 30,none,more than 7,26 to 30,Yes,Yes,External,3 to 5,1 year,5 to 8,All Perils
May,Nisson,Rural,Friday,Aug,2,Female,Single,69,Third Party,Sedan - All Perils,Sport,60000 to 69000,62131,4,300,1,1 to 7,8 to 15,1,7 years,21 to 25,No,Yes,External,none,4 to 8 years,3 to 4,Liability
Feb,BMW,Rural,Monday,Aug,4,Male,Married,22,Third Party,Sport - All Perils,Utility,less than 20000,86291,3,300,2,15 to 30,none,1,6 years,21 to 25,Yes,Yes,External,3 to 5,2 to 3 years,1 vehicle,Liability
Jul,VW,Rural,Sunday,Aug,3,Male,Widow,70,Third Party,Sedan - Collision,Sport,20000 to 29000,81003,5,500,4,8 to 15,15 to 30,1,4 years,16 to 17,No,No,Internal,1 to 2,2 to 3 years,2 vehicles,Liability
Jun,Saturn,Urban,Sunday,Jan,2,Female,Widow,67,Third Party,Sedan - Collision,Sedan,60000 to 69000,92566,8,500,1,8 to 15,more than 30,none,new,26 to 30,No,No,External,none,under 6 months,more than 8,All Perils
Sep,Mazda,Rural,Thursday,Jan,3,Male,Widow,71,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,99110,2,500,2,more than 30,more than 30,more than 4,3 years,16 to 17,No,Yes,External,none,under 6 months,5 to 8,Liability
Jul,Dodge,Rural,Sunday,May,5,Male,Widow,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,60021,3,400,2,more than 30,15 to 30,1,2 years,41 to 50,Yes,Yes,External,1 to 2,1 year,3 to 4,Liability
Feb,Mercury,Urban,Saturday,Jan,3,Female,Divorced,37,Policy Holder,Utility - Liability,Sport,40000 to 59000,39130,4,700,4,none,8 to 15,more than 4,more than 7,51 to 65,Yes,Yes,External,3 to 5,under 6 months,5 to 8,Liability
Dec,Mecedes,Rural,Thursday,May,5,Male,Single,72,Policy Holder,Utility - All Perils,Sport,30000 to 39000,44281,6,700,1,more than 30,15 to 30,more than 4,3 years,18 to 20,Yes,No,External,more than 5,4 to 8 years,5 to 8,All Perils
Jun,Pontiac,Urban,0,Jul,1,Female,Widow,67,Policy Holder,Sport - All Perils,Sedan,less than 20000,44573,6,300,1,more than 30,more than 30,none,4 years,41 to 50,Yes,No,Internal,more than 5,4 to 8 years,3 to 4,Collision
Nov,Mercury,Urban,Friday,Nov,2,Male,Married,79,Policy Holder,Utility - Collision,Utility,40000 to 59000,82751,4,700,1,15 to 30,8 to 15,none,2 years,31 to 35,No,No,Internal,1 to 2,4 to 8 years,more than 8,All Perils
Apr,Ferrari,Rural,Friday,Jun,4,Female,Widow,39,Third Party,Sedan - Liability,Sedan,40000 to 59000,86475,8,400,4,1 to 7,none,more than 4,more than 7,31 to 35,Yes,Yes,Internal,3 to 5,1 year,more than 8,All Perils
Nov,Honda,Rural,Thursday,Mar,2,Female,Married,59,Policy Holder,Utility - Liability,Utility,less than 20000,46430,6,400,4,15 to 30,more than 30,2 to 4,more than 7,over 65,No,No,Internal,3 to 5,1 year,2 vehicles,All Perils
Nov,Saab,Rural,Thursday,Oct,3,Male,Single,48,Policy Holder,Utility - Collision,Sport,more than 69000,66318,5,300,2,1 to 7,8 to 15,1,7 years,36 to 40,Yes,Yes,External,3 to 5,no change,more than 8,Liability
Jan,Honda,Urban,0,Dec,4,Female,Divorced,41,Policy Holder,Sport - Collision,Sport,60000 to 69000,90128,2,400,4,more than 30,15 to 30,2 to 4,3 years,21 to 25,No,No,Internal,more than 5,no change,3 to 4,Collision
Apr,BMW,Rural,Wednesday,May,3,Female,Widow,60,Third Party,Sedan - Collision,Sedan,60000 to 69000,50591,6,300,4,8 to 15,8 to 15,none,5 years,18 to 20,Yes,No,Internal,none,4 to 8 years,2 vehicles,Collision
Mar,Mercury,Rural,Monday,0,2,Male,Divorced,60,Third Party,Utility - All Perils,Sport,more than 69000,87118,5,700,2,1 to 7,none,1,2 years,36 to 40,No,Yes,External,more than 5,2 to 3 years,3 to 4,Collision
Oct,Pontiac,Rural,Friday,Jul,1,Female,Widow,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,56320,7,400,4,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,Internal,3 to 5,under 6 months,more than 8,Collision
Jul,VW,Rural,Sunday,Feb,5,Male,Widow,65,Policy Holder,Sport - All Perils,Sedan,more than 69000,46373,6,500,4,8 to 15,8 to 15,none,7 years,51 to 65,No,No,Internal,none,no change,2 vehicles,Liability
Feb,Saab,Rural,Monday,Sep,2,Male,Divorced,47,Policy Holder,Utility - Collision,Sport,30000 to 39000,60780,6,300,1,none,8 to 15,1,7 years,41 to 50,No,Yes,External,3 to 5,no change,more than 8,Collision
Nov,Dodge,Rural,Wednesday,Jul,1,Female,Widow,43,Policy Holder,Sedan - Collision,Sedan,less than 20000,72396,8,400,3,8 to 15,15 to 30,more than 4,2 years,26 to 30,Yes,No,External,none,under 6 months,more than 8,Liability
Jan,Ferrari,Rural,Wednesday,Dec,3,Female,Divorced,29,Policy Holder,Sedan - All Perils,Sedan,more than 69000,86024,8,500,1,more than 30,8 to 15,none,6 years,over 65,No,No,Internal,3 to 5,1 year,more than 8,All Perils
Mar,Ford,Urban,Saturday,Mar,4,Male,Divorced,32,Policy Holder,Utility - Liability,Utility,more than 69000,48315,9,500,3,8 to 15,more than 30,none,new,31 to 35,No,Yes,External,none,no change,3 to 4,Liability
Jul,Ford,Rural,Wednesday,Mar,2,Female,Divorced,0,Third Party,Utility - Collision,Sport,more than 69000,43029,1,500,1,none,none,none,6 years,26 to 30,Yes,Yes,External,more than 5,2 to 3 years,more than 8,All Perils
Apr,Mercury,Rural,Saturday,Sep,1,Male,Married,27,Policy Holder,Utility - Liability,Sport,more than 69000,39558,4,300,3,none,8 to 15,2 to 4,7 years,18 to 20,No,No,Internal,more than 5,2 to 3 years,2 vehicles,Liability
Jan,Honda,Urban,Thursday,Jan,4,Female,Divorced,80,Policy Holder,Utility - Liability,Sedan,30000 to 39000,62303,1,500,1,none,15 to 30,2 to 4,more than 7,18 to 20,Yes,No,External,1 to 2,no change,5 to 8,Liability
Mar,Saturn,Rural,0,Sep,4,Female,Single,38,Policy Holder,Utility - Collision,Sport,30000 to 39000,88272,1,700,4,none,15 to 30,none,3 years,over 65,Yes,No,External,more than 5,2 to 3 years,3 to 4,Liability
Nov,Honda,Rural,Monday,May,2,Male,Divorced,63,Policy Holder,Sedan - All Perils,Utility,20000 to 29000,88121,5,700,1,more than 30,none,1,4 years,51 to 65,No,No,External,none,2 to 3 years,3 to 4,Collision
Apr,Saab,Urban,Thursday,May,1,Female,Married,45,Third Party,Utility - All Perils,Utility,30000 to 39000,34184,3,700,1,8 to 15,8 to 15,1,6 years,51 to 65,Yes,No,External,more than 5,1 year,3 to 4,Liability
Apr,VW,Urban,Saturday,Jan,2,Female,Widow,35,Third Party,Utility - All Perils,Sport,more than 69000,10455,7,700,4,none,more than 30,2 to 4,4 years,18 to 20,Yes,No,External,none,4 to 8 years,5 to 8,All Perils
Jun,Honda,Urban,Wednesday,0,2,Female,Married,56,Third Party,Utility - Collision,Sedan,60000 to 69000,55533,1,500,1,8 to 15,15 to 30,1,3 years,31 to 35,No,No,External,1 to 2,4 to 8 years,1 vehicle,Liability
May,Toyota,Rural,Monday,Jul,1,Female,Single,46,Policy Holder,Sedan - Collision,Utility,40000 to 59000,49737,9,500,3,none,more than 30,more than 4,7 years,over 65,Yes,No,Internal,1 to 2,under 6 months,1 vehicle,Liability
Jul,Porche,Rural,Friday,Jan,5,Male,Married,62,Policy Holder,Utility - Liability,Utility,60000 to 69000,31898,1,500,4,15 to 30,more than 30,none,more than 7,41 to 50,Yes,No,Internal,more than 5,no change,more than 8,Collision
Feb,Lexus,Rural,0,Nov,2,Male,Single,44,Third Party,Sport - Collision,Utility,40000 to 59000,93780,5,400,3,1 to 7,8 to 15,none,6 years,31 to 35,No,No,Internal,3 to 5,no change,1 vehicle,All Perils
Sep,BMW,Urban,Monday,Nov,3,Male,Single,75,Third Party,Sport - Collision,Sport,20000 to 29000,45190,2,400,3,15 to 30,none,none,new,26 to 30,No,No,External,1 to 2,under 6 months,more than 8,Collision
Jul,Lexus,Rural,Wednesday,Mar,5,Male,Married,76,Third Party,Sport - Liability,Sport,30000 to 39000,58931,5,700,4,15 to 30,8 to 15,none,3 years,36 to 40,Yes,Yes,Internal,1 to 2,no change,5 to 8,All Perils
Oct,Toyota,Rural,Friday,0,3,Male,Widow,38,Third Party,Sedan - All Perils,Sedan,more than 69000,22972,5,300,2,15 to 30,more than 30,1,2 years,36 to 40,Yes,No,External,none,under 6 months,3 to 4,Collision
Apr,Honda,Urban,Friday,0,3,Male,Single,75,Policy Holder,Sport - Liability,Sport,20000 to 29000,85003,5,700,4,more than 30,8 to 15,none,7 years,31 to 35,No,Yes,Internal,1 to 2,4 to 8 years,more than 8,Liability
May,VW,Rural,Tuesday,Apr,1,Female,Single,18,Policy Holder,Sport - Collision,Sport,60000 to 69000,99174,2,500,3,none,15 to 30,none,3 years,18 to 20,No,Yes,Internal,none,no change,3 to 4,Liability
Jun,Saab,Urban,Monday,Sep,4,Female,Divorced,18,Third Party,Sport - All Perils,Utility,30000 to 39000,68886,4,700,4,1 to 7,15 to 30,none,5 years,31 to 35,No,Yes,Internal,3 to 5,2 to 3 years,5 to 8,Collision
Sep,Accura,Rural,Wednesday,Jun,3,Male,Divorced,73,Policy Holder,Utility - All Perils,Sport,40000 to 59000,78367,6,300,1,8 to 15,8 to 15,1,7 years,21 to 25,Yes,No,External,more than 5,4 to 8 years,5 to 8,All Perils
Oct,Ford,Urban,Friday,Jul,3,Male,Married,70,Policy Holder,Sport - Collision,Sport,20000 to 29000,16106,5,500,4,15 to 30,more than 30,more than 4,more than 7,21 to 25,Yes,No,External,none,2 to 3 years,5 to 8,Collision
Dec,Pontiac,Urban,Tuesday,Aug,3,Female,Divorced,34,Third Party,Sport - Liability,Utility,60000 to 69000,49026,4,300,3,15 to 30,15 to 30,1,more than 7,26 to 30,Yes,Yes,Internal,none,no change,1 vehicle,All Perils
Nov,Mercury,Urban,0,Jan,3,Female,Married,31,Policy Holder,Sport - All Perils,Sport,30000 to 39000,99502,6,300,3,more than 30,15 to 30,none,new,41 to 50,No,No,Internal,3 to 5,1 year,2 vehicles,All Perils
Dec,Dodge,Urban,Wednesday,Oct,2,Male,Divorced,69,Policy Holder,Utility - Liability,Utility,40000 to 59000,46717,2,500,2,1 to 7,more than 30,more than 4,2 years,16 to 17,No,No,External,more than 5,no change,more than 8,Liability
Oct,Ford,Urban,Friday,Oct,3,Male,Married,36,Third Party,Sport - All Perils,Sport,20000 to 29000,72838,3,300,2,none,more than 30,1,3 years,31 to 35,Yes,Yes,External,more than 5,no change,more than 8,Collision
Jun,Ferrari,Rural,0,Feb,1,Male,Divorced,45,Third Party,Sport - Collision,Utility,less than 20000,92903,4,500,4,15 to 30,8 to 15,none,new,18 to 20,No,Yes,External,1 to 2,2 to 3 years,5 to 8,Collision
Nov,Ferrari,Urban,Monday,Aug,5,Male,Divorced,73,Policy Holder,Utility - Liability,Sport,less than 20000,43688,2,300,3,none,8 to 15,more than 4,new,18 to 20,No,No,Internal,more than 5,under 6 months,3 to 4,Liability
Jun,Toyota,Urban,Tuesday,Jul,4,Male,Divorced,68,Policy Holder,Sedan - Liability,Sport,more than 69000,79020,3,400,1,1 to 7,8 to 15,more than 4,3 years,over 65,Yes,No,Internal,1 to 2,4 to 8 years,1 vehicle,All Perils
Dec,Jaguar,Rural,Wednesday,Jun,1,Female,Single,44,Policy Holder,Sport - Liability,Sedan,40000 to 59000,47424,5,300,1,more than 30,none,more than 4,7 years,31 to 35,Yes,Yes,Internal,more than 5,4 to 8 years,more than 8,Liability
Dec,Saab,Urban,Thursday,Oct,5,Male,Widow,52,Third Party,Sedan - Liability,Sedan,20000 to 29000,61314,4,700,4,15 to 30,none,1,new,31 to 35,Yes,No,Internal,more than 5,2 to 3 years,2 vehicles,Collision
Jul,Chevrolet,Rural,Friday,Jul,5,Female,Widow,34,Policy Holder,Sedan - Liability,Sedan,40000 to 59000,71259,2,300,2,1 to 7,8 to 15,2 to 4,5 years,over 65,Yes,Yes,Internal,more than 5,1 year,2 vehicles,Liability
Mar,Ferrari,Urban,Sunday,Sep,5,Female,Widow,57,Third Party,Sport - Collision,Utility,more than 69000,59789,4,500,2,1 to 7,15 to 30,more than 4,5 years,16 to 17,Yes,No,External,1 to 2,1 year,3 to 4,Collision
Feb,Accura,Urban,Monday,Aug,5,Female,Married,22,Policy Holder,Sport - Collision,Sedan,30000 to 39000,28654,1,300,4,none,more than 30,more than 4,7 years,16 to 17,No,Yes,External,more than 5,4 to 8 years,more than 8,Liability
Aug,Mecedes,Urban,0,Sep,1,Female,Married,72,Policy Holder,Utility - Liability,Sport,30000 to 39000,14133,6,400,4,more than 30,15 to 30,1,7 years,51 to 65,No,No,Internal,none,under 6 months,more than 8,Liability
Nov,Pontiac,Urban,Sunday,Oct,2,Male,Divorced,26,Policy Holder,Sedan - All Perils,Sport,30000 to 39000,82632,8,700,4,1 to 7,15 to 30,none,7 years,21 to 25,Yes,Yes,Internal,1 to 2,under 6 months,5 to 8,All Perils
Dec,Ford,Urban,Monday,Jun,4,Male,Single,46,Third Party,Sport - Liability,Sedan,60000 to 69000,71921,4,700,1,15 to 30,more than 30,1,7 years,31 to 35,No,Yes,External,3 to 5,under 6 months,more than 8,Liability
Nov,Ford,Urban,Friday,Mar,3,Female,Widow,57,Third Party,Sport - Liability,Utility,60000 to 69000,37401,8,700,3,15 to 30,8 to 15,more than 4,5 years,26 to 30,No,No,Internal,more than 5,1 year,2 vehicles,All Perils
Feb,BMW,Rural,Tuesday,Jul,4,Male,Divorced,21,Policy Holder,Utility - Liability,Utility,30000 to 39000,34501,1,400,1,none,15 to 30,2 to 4,3 years,41 to 50,Yes,Yes,External,none,4 to 8 years,5 to 8,Liability
Sep,Saab,Urban,Tuesday,Jul,2,Male,Single,69,Third Party,Utility - Liability,Sedan,20000 to 29000,79528,6,400,1,8 to 15,15 to 30,2 to 4,more than 7,21 to 25,No,Yes,External,1 to 2,4 to 8 years,more than 8,Collision
Aug,Toyota,Urban,Sunday,Feb,4,Male,Single,72,Policy Holder,Sport - All Perils,Utility,more than 69000,86221,7,500,1,8 to 15,8 to 15,2 to 4,7 years,over 65,No,No,External,more than 5,no change,3 to 4,Collision
Jul,Mecedes,Rural,Saturday,Feb,1,Female,Widow,70,Third Party,Sedan - Collision,Sport,60000 to 69000,77963,4,300,2,15 to 30,8 to 15,none,3 years,18 to 20,Yes,Yes,Internal,none,no change,5 to 8,Collision
Apr,Mazda,Urban,Saturday,Jul,4,Male,Divorced,64,Policy Holder,Utility - All Perils,Sedan,less than 20000,53254,7,400,1,8 to 15,8 to 15,1,4 years,51 to 65,Yes,No,External,none,1 year,2 vehicles,Liability
Jul,Mecedes,Rural,Tuesday,Apr,2,Male,Married,21,Third Party,Sedan - All Perils,Sport,more than 69000,93700,8,500,1,none,15 to 30,none,6 years,36 to 40,No,No,External,1 to 2,under 6 months,1 vehicle,Collision
Jul,Ford,Urban,Tuesday,Dec,5,Male,Divorced,16,Policy Holder,Sport - All Perils,Sport,60000 to 69000,54353,9,300,3,8 to 15,more than 30,2 to 4,new,18 to 20,No,Yes,Internal,more than 5,4 to 8 years,2 vehicles,Liability
Apr,Honda,Urban,Thursday,Feb,1,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,67966,7,700,4,8 to 15,8 to 15,more than 4,new,over 65,No,No,Internal,none,no change,2 vehicles,All Perils
Mar,Lexus,Urban,Friday,Jun,2,Male,Divorced,61,Policy Holder,Utility - All Perils,Sedan,more than 69000,41783,6,500,4,15 to 30,15 to 30,2 to 4,new,16 to 17,No,No,Internal,3 to 5,4 to 8 years,1 vehicle,Collision
Oct,Pontiac,Rural,Sunday,Dec,2,Female,Divorced,78,Third Party,Sedan - All Perils,Utility,20000 to 29000,84604,3,700,4,15 to 30,none,none,3 years,36 to 40,No,Yes,External,3 to 5,2 to 3 years,more than 8,Liability
Oct,Pontiac,Rural,Thursday,Sep,5,Female,Divorced,36,Policy Holder,Sedan - Liability,Utility,60000 to 69000,54602,1,700,2,none,more than 30,2 to 4,6 years,31 to 35,Yes,Yes,Internal,none,2 to 3 years,more than 8,Liability
May,Chevrolet,Urban,Sunday,Sep,3,Male,Single,79,Policy Holder,Sport - Collision,Sport,less than 20000,37846,4,300,1,1 to 7,8 to 15,more than 4,7 years,31 to 35,Yes,Yes,External,none,no change,2 vehicles,Liability
Feb,Mazda,Urban,Wednesday,0,5,Male,Single,69,Third Party,Utility - Collision,Sport,more than 69000,29012,7,700,2,1 to 7,more than 30,more than 4,6 years,over 65,Yes,Yes,External,3 to 5,no change,1 vehicle,Collision
Feb,Mercury,Urban,Friday,Jan,2,Female,Widow,80,Policy Holder,Utility - Collision,Sport,30000 to 39000,20132,9,700,3,1 to 7,15 to 30,more than 4,more than 7,21 to 25,No,No,External,more than 5,no change,5 to 8,Collision
Mar,Jaguar,Urban,Monday,0,2,Female,Divorced,72,Policy Holder,Sport - Collision,Sport,40000 to 59000,48128,4,300,1,8 to 15,none,none,new,41 to 50,Yes,Yes,Internal,more than 5,4 to 8 years,3 to 4,Liability
May,VW,Rural,Sunday,Sep,5,Female,Widow,16,Third Party,Sport - Liability,Utility,more than 69000,83352,7,700,1,8 to 15,none,1,5 years,26 to 30,Yes,No,Internal,1 to 2,under 6 months,3 to 4,All Perils
Jul,Lexus,Urban,Thursday,Aug,5,Female,Married,78,Policy Holder,Utility - All Perils,Sedan,less than 20000,27422,9,500,3,1 to 7,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,4 to 8 years,3 to 4,Collision
Apr,Saab,Rural,Friday,Oct,3,Female,Single,61,Third Party,Utility - Collision,Sport,40000 to 59000,86181,1,700,3,15 to 30,more than 30,more than 4,more than 7,over 65,No,No,Internal,more than 5,under 6 months,more than 8,All Perils
Nov,Saturn,Rural,Wednesday,Jan,1,Male,Divorced,44,Policy Holder,Sedan - Liability,Utility,less than 20000,94343,2,500,2,1 to 7,15 to 30,more than 4,5 years,21 to 25,Yes,Yes,External,3 to 5,4 to 8 years,2 vehicles,Collision
May,Toyota,Rural,0,Jan,4,Male,Married,58,Third Party,Sedan - Collision,Sedan,60000 to 69000,68657,5,500,1,none,none,2 to 4,more than 7,31 to 35,Yes,Yes,External,more than 5,4 to 8 years,3 to 4,All Perils
Aug,Jaguar,Urban,Monday,Oct,1,Female,Widow,72,Third Party,Sport - Liability,Sport,40000 to 59000,92832,9,300,3,1 to 7,8 to 15,1,7 years,over 65,Yes,Yes,External,more than 5,2 to 3 years,3 to 4,Collision
